Maakond,Aasta,Hukkunuid,Hoone liik,Tekkepõhjus,Kuu
Võru maakond,2010,2,eluhoone,102 Suitsetamisel,1
Valga maakond,2010,1,eluhoone,601 Kindlaks tegemata põhjus,1
Jõgeva maakond,2010,1,eluhoone,102 Suitsetamisel,1
Jõgeva maakond,2010,1,mitteeluhoone,102 Suitsetamisel,1
Ida-Viru maakond,2010,1,eluhoone,601 Kindlaks tegemata põhjus,1
Ida-Viru maakond,2010,2,eluhoone,102 Suitsetamisel,1
Harju maakond,2010,1,eluhoone,101 Lahtise tule kasutamisel,1
Harju maakond,2010,1,mitteeluhoone,102 Suitsetamisel,1
Harju maakond,2010,2,eluhoone,601 Kindlaks tegemata põhjus,1
Harju maakond,2010,1,eluhoone,105 Kütteseadmete kasutamisel,1
Valga maakond,2010,1,eluhoone,102 Suitsetamisel,2
Valga maakond,2010,1,eluhoone,601 Kindlaks tegemata põhjus,2
Tartu maakond,2010,2,eluhoone,102 Suitsetamisel,2
Pärnu maakond,2010,1,eluhoone,105 Kütteseadmete kasutamisel,2
Lääne-Viru maakond,2010,1,eluhoone,101 Lahtise tule kasutamisel,2
Ida-Viru maakond,2010,1,eluhoone,102 Suitsetamisel,2
Ida-Viru maakond,2010,1,eluhoone,104 Elektriseadmete kasutamisel,2
Ida-Viru maakond,2010,1,eluhoone,106 Toiduvalmistamisel (kõrbemine),2
Harju maakond,2010,2,eluhoone,101 Lahtise tule kasutamisel,2
Harju maakond,2010,1,eluhoone,102 Suitsetamisel,2
Saare maakond,2010,1,eluhoone,101 Lahtise tule kasutamisel,3
Pärnu maakond,2010,2,eluhoone,101 Lahtise tule kasutamisel,3
Järva maakond,2010,2,eluhoone,102 Suitsetamisel,3
Ida-Viru maakond,2010,1,eluhoone,102 Suitsetamisel,3
Harju maakond,2010,1,eluhoone,601 Kindlaks tegemata põhjus,3
Harju maakond,2010,1,eluhoone,102 Suitsetamisel,3
Viljandi maakond,2010,1,eluhoone,402 Rike elektriseadmes,4
Valga maakond,2010,1,eluhoone,102 Suitsetamisel,4
Tartu maakond,2010,1,eluhoone,102 Suitsetamisel,4
Saare maakond,2010,1,eluhoone,102 Suitsetamisel,4
Harju maakond,2010,1,eluhoone,101 Lahtise tule kasutamisel,4
Võru maakond,2010,1,eluhoone,403 Rike elektripaigaldises,5
Viljandi maakond,2010,1,eluhoone,102 Suitsetamisel,5
Jõgeva maakond,2010,1,eluhoone,102 Suitsetamisel,5
Ida-Viru maakond,2010,1,eluhoone,210 Süütamine,5
Harju maakond,2010,1,eluhoone,101 Lahtise tule kasutamisel,5
Jõgeva maakond,2010,1,eluhoone,102 Suitsetamisel,7
Harju maakond,2010,1,-Puudub-,601 Kindlaks tegemata põhjus,8
Harju maakond,2010,1,eluhoone,101 Lahtise tule kasutamisel,8
Harju maakond,2010,1,eluhoone,102 Suitsetamisel,8
Jõgeva maakond,2010,1,eluhoone,102 Suitsetamisel,9
Viljandi maakond,2010,1,eluhoone,601 Kindlaks tegemata põhjus,10
Tartu maakond,2010,1,eluhoone,102 Suitsetamisel,10
Rapla maakond,2010,2,eluhoone,105 Kütteseadmete kasutamisel,10
Lääne-Viru maakond,2010,1,eluhoone,102 Suitsetamisel,10
Harju maakond,2010,1,eluhoone,101 Lahtise tule kasutamisel,10
Harju maakond,2010,1,eluhoone,102 Suitsetamisel,10
Harju maakond,2010,1,mitteeluhoone,101 Lahtise tule kasutamisel,10
Võru maakond,2010,1,mitteeluhoone,105 Kütteseadmete kasutamisel,11
Tartu maakond,2010,1,eluhoone,102 Suitsetamisel,11
Võru maakond,2010,1,eluhoone,101 Lahtise tule kasutamisel,12
Tartu maakond,2010,1,eluhoone,102 Suitsetamisel,12
Pärnu maakond,2010,1,eluhoone,102 Suitsetamisel,12
Pärnu maakond,2010,2,eluhoone,105 Kütteseadmete kasutamisel,12
Pärnu maakond,2010,1,eluhoone,402 Rike elektriseadmes,12
Põlva maakond,2010,1,eluhoone,102 Suitsetamisel,12
Jõgeva maakond,2010,1,mitteeluhoone,102 Suitsetamisel,12
Ida-Viru maakond,2010,2,eluhoone,102 Suitsetamisel,12
Harju maakond,2010,1,eluhoone,101 Lahtise tule kasutamisel,12
Tartu maakond,2011,1,eluhoone,102 Suitsetamisel,1
Põlva maakond,2011,1,eluhoone,601 Kindlaks tegemata põhjus,1
Ida-Viru maakond,2011,1,eluhoone,102 Suitsetamisel,1
Hiiu maakond,2011,1,eluhoone,102 Suitsetamisel,1
Lääne-Viru maakond,2011,1,eluhoone,102 Suitsetamisel,2
Lääne-Viru maakond,2011,1,eluhoone,105 Kütteseadmete kasutamisel,2
Lääne-Viru maakond,2011,2,eluhoone,101 Lahtise tule kasutamisel,2
Lääne maakond,2011,10,eluhoone,101 Lahtise tule kasutamisel,2
Jõgeva maakond,2011,2,eluhoone,102 Suitsetamisel,2
Ida-Viru maakond,2011,2,eluhoone,102 Suitsetamisel,2
Ida-Viru maakond,2011,1,eluhoone,104 Elektriseadmete kasutamisel,2
Harju maakond,2011,1,-Puudub-,101 Lahtise tule kasutamisel,2
Tartu maakond,2011,1,eluhoone,102 Suitsetamisel,3
Rapla maakond,2011,1,eluhoone,102 Suitsetamisel,3
Lääne-Viru maakond,2011,1,eluhoone,104 Elektriseadmete kasutamisel,3
Lääne-Viru maakond,2011,1,eluhoone,601 Kindlaks tegemata põhjus,3
Ida-Viru maakond,2011,1,eluhoone,102 Suitsetamisel,3
Harju maakond,2011,2,eluhoone,101 Lahtise tule kasutamisel,3
Harju maakond,2011,2,eluhoone,102 Suitsetamisel,3
Pärnu maakond,2011,1,eluhoone,101 Lahtise tule kasutamisel,4
Pärnu maakond,2011,1,eluhoone,105 Kütteseadmete kasutamisel,4
Lääne-Viru maakond,2011,1,eluhoone,102 Suitsetamisel,4
Lääne-Viru maakond,2011,1,eluhoone,102 Suitsetamisel,5
Järva maakond,2011,1,-Puudub-,105 Kütteseadmete kasutamisel,5
Jõgeva maakond,2011,1,eluhoone,403 Rike elektripaigaldises,5
Ida-Viru maakond,2011,1,eluhoone,102 Suitsetamisel,5
Lääne-Viru maakond,2011,1,mitteeluhoone,102 Suitsetamisel,6
Harju maakond,2011,1,eluhoone,402 Rike elektriseadmes,6
Harju maakond,2011,1,eluhoone,102 Suitsetamisel,6
Lääne-Viru maakond,2011,1,mitteeluhoone,405 Mootorsõiduki elektri- ja toitesüsteemi rike,7
Jõgeva maakond,2011,1,eluhoone,102 Suitsetamisel,7
Järva maakond,2011,1,eluhoone,102 Suitsetamisel,8
Ida-Viru maakond,2011,1,eluhoone,101 Lahtise tule kasutamisel,8
Harju maakond,2011,1,eluhoone,102 Suitsetamisel,8
Tartu maakond,2011,1,mitteeluhoone,102 Suitsetamisel,9
Saare maakond,2011,1,eluhoone,102 Suitsetamisel,9
Saare maakond,2011,1,eluhoone,101 Lahtise tule kasutamisel,9
Põlva maakond,2011,1,eluhoone,102 Suitsetamisel,9
Jõgeva maakond,2011,1,eluhoone,102 Suitsetamisel,9
Ida-Viru maakond,2011,1,eluhoone,102 Suitsetamisel,9
Harju maakond,2011,1,eluhoone,601 Kindlaks tegemata põhjus,9
Võru maakond,2011,1,eluhoone,403 Rike elektripaigaldises,10
Tartu maakond,2011,1,eluhoone,402 Rike elektriseadmes,10
Rapla maakond,2011,1,eluhoone,402 Rike elektriseadmes,10
Pärnu maakond,2011,1,eluhoone,102 Suitsetamisel,10
Pärnu maakond,2011,1,eluhoone,101 Lahtise tule kasutamisel,10
Lääne maakond,2011,1,eluhoone,403 Rike elektripaigaldises,10
Valga maakond,2011,1,eluhoone,102 Suitsetamisel,11
Ida-Viru maakond,2011,2,eluhoone,102 Suitsetamisel,11
Harju maakond,2011,1,eluhoone,101 Lahtise tule kasutamisel,11
Harju maakond,2011,1,eluhoone,601 Kindlaks tegemata põhjus,11
Rapla maakond,2011,1,eluhoone,403 Rike elektripaigaldises,12
Pärnu maakond,2011,1,eluhoone,101 Lahtise tule kasutamisel,12
Harju maakond,2011,1,mitteeluhoone,101 Lahtise tule kasutamisel,12
Harju maakond,2011,3,mitteeluhoone,601 Kindlaks tegemata põhjus,12
Harju maakond,2011,1,eluhoone,101 Lahtise tule kasutamisel,12
Tartu maakond,2012,1,eluhoone,601 Kindlaks tegemata põhjus,1
